estandar	dialectal	whisper
Sí	Sí	Se
~,	~,	dios
a	a	que
buscar	buscar	el
allí	allí	día
a	a	voluimos
por	por	y
ellas	ellas	al
~.	~.	систien
[HS:E1	[HS:E1	o
		[Asent]			[Asent]	fíj
~.	~.	Titan
		]			]	no
Y	Y	se
las	las	o
metía	metía	un
en	en	hugging,
un	un	shrub
sitio	sitio	en
que	que	los特別...
no	no	y
se	se	ahora
pudieran	pudieran	mientras
salir	salir	les
~,	~,	las
[R-Vnt]	[R-Vnt]
[A-Inn]	[A-Inn]
las	las
echaba	echaba
la	la
lumbre	lumbre
y	y
las	las
traía	traía
~.	~.
Y	Y
ahora	ahora
anda	anda
que	que
no	no
las	las
trasladan	trasladan
~,	~,
aquí	aquí
todos	to
los	los
años	años
las	las
traen	traen
~.	~.
