estandar	dialectal	whisper
A	A	Algo
lo	lo	de
mejor	mejor	jodventu
venticuatro	venticuatro	cuatro
horas	horas	horas,
~,	~,	que
		si
qué	qué	yo
sé	sé	no
yo	yo	sé,
		]			]	no
~.	~.	sé,
[HS:E2	[HS:E2	no
		~¡~			~¡~	sé,
Ah	Ah	porque
~,	~,	de
pues	pues	eso
es	es	hay
poquito	poquito	plan,
~!	~!	ya
		]			]	no
No	No	me
sé	sé
~…	~…
~,	~,
no	no
sé	sé
~…	~…
~,	~,
no	no
sé	sé
~.	~.
Porque	Porque
de	de
ese	ese
plan	plan
ya	ya
no	no
~…	~…
~,	~,
ya	ya
no	no
me	me
preguntéis	preguntéis
que	que
~…	~…
[RISA]	[RISA]
