estandar	dialectal	whisper
Como	Como	como
no	no	nos
fueran	fueran	fue
todas	todas	gan,
[HS:I1	[HS:I1	todas
		Unas			Unas	más
ganas	ganas	mayores
de	de	que
ir	ir	yo.
al	al	Creo
cine	cine	que
~.	~.	estaba
		]			]	muy
más	más	bien,
mayores	mayores	siné.
que	que	Y
yo	yo	las
~,	~,	hermanas
mis	mis	de
amigas	amigas	mis
[HS:I1	[HS:I1	amigas.
		Hombre			Hombre	No
~,	~,	me
que	que	dejaba
estábamos	estábamos	ni
metíos	metíos	al
en	en
el	el
cine	cine
~,	~,
		]			]
y	y
las	las
hermanas	hermanas
de	de
mis	mis
amigas	amigas
~,	~,
[HS:I1	[HS:I1
		pues			pues
nada	nada
~,	~,
no	no
nos	nos
dejaban	dejaban
ir	ir
allí	allí
~.	~.
		]			]
más	más
mayores	mayores
~,	~,
no	no
me	me
dejaban	dejaban
ir	ir
al	al
cine	cine
~.	~.
