estandar	dialectal	whisper
Mi	Mi	Me
madre	madre	pueden
le	le	como
decía	decía	un
a	a
mi	mi
padre	padre
~:	~:
«~	«~
Como	Como
traes	traes
los	los
calzoncillos	calzoncillos
de	de
tierra	tierra
y	y
de	de
zurraspa	zurraspa
~»	~»
~.	~.
Dice	Dice
~:	~:
«~	«~
¿~	¿~
Te	Te
parece	parece
poco	poco
que	que
me	me
he	he
limpiao	limpiao
con	con
un	un
terrón	terrón
hoy	hoy
~?	~?
~»	~»
~.	~.
[RISAS]	[RISAS]
A	A
ver	ver
~,	~,
es	es
que	que
no	no
había	había
entonces	entonces
periódicos	periódicos
ni	ni
na	na
~.	~.
