estandar	dialectal	whisper
En	En	El
el	el	red
verano	verano	armo
calor	calor	calor.
~,	~,	El
[HS:I3	[HS:I3	red
		Ahora			Ahora	armo
la	la	calor
~…	~…	aprieta.
		]			]	El
ahora	ahora	caclo
que	que	de
la	la	secas.
calor	calor	El
aprieta	aprieta	caclo
~,	~,	de
[HS:E1	[HS:E1	secas.
		Claro			Claro	Porque
~,	~,	en
si	si	estas
aquí	aquí	cabas,
~…	~…	en
		]			]	nuestras
[HS:I3	[HS:I3	capitales
		[A-Inn]			[A-Inn]	es
		]			]	la
aquí	aquí	carótero,
aprieta	aprieta	pero
~,	~,	es
es	es	sud-a.
seca	seca	Así
~.	~.	blanda,
La	La	pero
calor	calor	aquí
es	es	es
seca	seca	que
[HS:E1	[HS:E1	la
		Sí			Sí	galora
~.	~.	seca.
[A-Inn]	[A-Inn]	Por
es	es	los
seca	seca	dolumas,
~.	~.	así
		]			]	se
porque	porque	asale.
en	en	Y
estas	estas	hasta
ca-	ca-	la
~,	~,
en	en
estas	estas
capitales	capitales
es	es
la	la
calor	calor
~,	~,
pero	pero
es	es
sudada	sudá
~,	~,
así	así
blanda	blanda
~,	~,
pero	pero
aquí	aquí
es	es
que	que
la	la
calor	calor
es	es
seca	seca
~.	~.
[HS:I3	[HS:I3
		Aquí			Aquí
la	la
calor	calor
~…	~…
		]			]
Te	Te
asfixia	asfixia
~,	~,
sales	sales
y	y
~…	~…
~,	~,
y	y
hasta	hasta
la	la
~|	~|
los	los
pies	pies
~…	~…
