estandar	dialectal	whisper
[OTRAS-EM]	[OTRAS-EM]	pero
Pero	Pero	no
~¡~	~¡~	la
uy	uy	dice,
~!	~!	y
~,	~,	va
no	no	uno
~,	~,	más
no	no	de
~,	~,	diciembre,
allí	allí	una
se	se	verdad.
iba	iba	Luego,
uno	uno	era
más	más	como
derecho	derecho	estaba
que	que	un
~,	~,	sede
que	que	más
una	una	gara,
vela	vela	aquí
~.	~.	teníamos
Luego	Luego	una
~…	~…	huella,
~,	~,	y
ah	ah	estaba
~,	~,	con
como	como	ella
estábamos	estábamos	algún
en	en	invierno
la	la	que
masada	masada	estuvieron
~,	~,	poco,
mi	mi	y
~…	~…	le
~,	~,	decía
y	y	al
aquí	aquí	maestro
teníamos	teníamos	que
una	una	con
[HS:E1	[HS:E1	que
		[Asent]			[Asent]	le
~.	~.	entregar
		]			]	a
abuela	abuela	la
~,	~,	piel
y	y	era
~…	~…
~,	~,
y	y
estábamos	estábamos
con	con
ella	ella
~,	~,
ah	ah
~…	~…
~,	~,
un	un
invierno	invierno
que	que
estuve	estuve
yo	yo
poco	poco
~,	~,
y	y
le	le
decía	decía
al	al
~,	~,
al	al
~,	~,
a	a
~,	~,
a	a
~,	~,
a	a
~,	~,
al	al
maestro	maestro
que	que
~,	~,
que	que
con	con
que	que
le	le
entrara	entrara
~|	~|
que	que
le	le
entregara	entregara
la	la
piel	piel
era	era
bastante	bastante
~,	~,
o	o
sea	sea
que	que
~…	~…
