estandar	dialectal	whisper
Sí	Sí	Esta
~,	~,	sinca
hombre	hombre	tan
~.	~.	grande
Mira	Mira	que
~,	~,	es
esto	esto	digo
era	era	que
el	el	tiene
almacén	almacén	mil
que	que	centroso
compraban	compraban	hectáreas,
almendras	amendras	casi
~.	~.	todo
[HS:E1	[HS:E1	el
		[Asent]			[Asent]	año,
~.	~.	casi
 	 	todo
 	 	el
 	 	año.
 	 	Una
 	 	cabellaria,
 	 	tomé
 	 	solamente
 	 	así
 	 	cada
 	 	día
 	 	un
 	 	viaje
 	 	de
 	 	Andrés
 	 	de
 	 	aquí,
 	 	tres
 	 	acos
 	 	y
 	 	por
 	 	ti.
 	 	Pero
 	 	la
 	 	vendía
 	 	no.
 	 	Esto
 	 	era
 	 	un
 	 	ambasín
 	 	que
 	 	comprobaró
 	 	mientras.
