estandar	dialectal	whisper
|T6|	|T6|	Sí,
Claro	Claro	sí,
~,	~,	sí,
[HS:E3	[HS:E3	sí.
		Sí			Sí	Muy
~,	~,	bien.
sí	sí	Y
~,	~,	luego
sí	sí	con
~,	~,	lo
sí	sí	que
~.	~.	sacaba
		]			]	usted
desde	desde	de
luego	luego	capo
~.	~.	que
Muy	Muy	se
bien	bien	hacía.
~.	~.	Las
Y	Y	cosas
luego	luego	cultivaron
~,	~,	que
con	con	se
~,	~,
con	con
lo	lo
que	que
sacaba	sacaba
usted	usted
del	del
campo	campo
~,	~,
¿~	¿~
qué	qué
se	se
hacía	hacía
~?	~?
Las	Las
cosas	cosas
que	que
cultivaban	cultivaban
~,	~,
¿~	¿~
qué	qué
hacían	hacían
con	con
ellas	ellas
~?	~?
