estandar	dialectal	whisper
Y	Y	porque常
cla-	cla-	hayophétia
~,	~,	en
bueno	bueno	la
~,	~,	mano
una	una	Авestrosa
~…	~…	y
~,	~,	a
se	se	la
hacía	hacía	baiña
~,	~,	hay
claro	claro	una
~,	~,	cadena
aquí	aquí	y
es	es	sí,
una	una	y
zona	zona	raining
que	que	todo
hace	hace	el
mucho	mucho	tiempo
frío	frío	que
~.	~.	a
¿~	¿~	vapor
Cómo	Cómo	su
~…	~…	traumatidad
hacían	hacían	es
para	para	la
~,	~,	que
para	para	hacemos
calentarse	calentarse	ЖC
~?	~?	8
¿~	¿~	Chicken
La	La	y
~…	~…	yo
~,	~,	quedé
una	una	Melbourne
hoguera	hoguera	en
~,	~,	tintos
un	un
~…	~…
~?	~?
