estandar	dialectal	whisper
¿~	¿~	En
En	En	naves,
naves	naves	pues
~?	~?	se
[HS:E	[HS:E	crean
		Sí			Sí	ratas,
~.	~.	que
		]			]	crean
Pues	Pues	allí
se	se	en
crían	crían	tangatos,
ratas	ratas	se
y	y	crean
~,	~,	ratas,
claro	claro	ratones
~,	~,	y
allí	allí
no	no
entran	entran
gatos	gatos
~,	~,
[HS:E	[HS:E
		[Asent]			[Asent]
~.	~.
		]			]
se	se
crían	crían
ratas	ratas
~,	~,
ratones	ratones
~,	~,
	
y	y
		]			]
dicen	dicen
que	que
algunos	algunos
se	se
los	los
comen	comen
los	los
cochinos	cochinos
~.	~.
