estandar	dialectal	whisper
[HS:E1	[HS:E1	Ahora
		Nada			Nada	se
~,	~,	va
nada	nada	un
~.	~.	chico
		]			]	a
Ahora	Ahora	la
se	se	mili
va	va	y
un	un	yo
chico	chico	sí
a	a	se
la	la	va
mili	mili	a
~,	~,	ir
y	y	una
yo	yo	vecina
~,	~,	por
si	si	bueno,
se	se	le
va	va	digo
el	el	tomar
de	de	mil
una	una	pesetas
vecina	vecina	más
~,	~,	joven
pues	pues	para
voy	voy	que
y	y	te
le	le	lo
digo	digo	hagas
~,	~,	o
«~	«~	un
Toma	Toma	sobrino
mil	mil	que
pesetas	pesetas	se
~,	~,	va
majo	majo	también
~,	~,	le
pa	pa	de
que	que	la
te	te	propina,
las	las	pero
gastes	gastes	solo
~»	~»	es
~.	~.	entre
O	O	gente
un	un	conocida
sobrino	sobrino	pero
que	que	antes
se	se	se
va	va	van
~,	~,	a
[HS:E2	[HS:E2	pedir
		[Asent]			[Asent]	los
~.	~.	cintos
		]			]	que
también	también	se
le	le
doy	doy
la	la
propina	propina
~,	~,
pero	pero
solo	solo
es	es
entre	entre
gente	gente
conocida	conocida
~.	~.
Pero	Pero
antes	antes
iban	iban
a	a
pedir	pedir
los	los
quintos	quintos
que	que
se	se
van	van
~.	~.
