estandar	dialectal	whisper
Pues	Pues	Se
esa	esa	salieron
leche	leche	de
lo	lo	la
ordeñábamos	ordeñábamos	hoveja,
de	de	en
la	la	un
~,	~,	cachorro
de	de	grande,
~,	~,	luego
de	de	había
la	la	unas
oveja	oveja	jarras
~,	~,	o
en	en	sea
un	un	unas
cacharro	cacharro	artistas
grande	grande	que
~,	~,	hemos
luego	luego	llamado.
había	había	Cuando
unas	unas	se
~…	~…	acolcaba,
~,	~,	los
unas	unas	creating
jarras	jarras	los
~|	~|	álbumes
o	o	se
sea	sea	cambiologaban.
~,	~,	La
unas	unas
de	de
estas	estas
~,	~,
¿~	¿~
cómo	cómo
se	se
llaman	llaman
~?	~?
~,	~,
las	las
~…	~…
Adonde	Ande
se	se
volcaba	volcaba
~,	~,
¿~	¿~
cómo	cómo
se	se
llama	llama
eso	eso
~?	~?
Adonde	Ande
se	se
[HS:E	[HS:E
		Las			Las
cubas	cubas
o	o
~…	~…
		]			]
[A-Inn]	[A-Inn]
~.	~.
