estandar	dialectal	whisper
que	que	y
si	si	se
las	las	contaba
matan	matan	que
~,	~,	si
[HS:I1	[HS:I1	la
		[A-Pau:			[A-Pau:	matan,
		Eso			Eso	que
es	es	si
		]			]	hoy
~.	~.	no
		]			]	hicimos
que	que	cuenta
si	si	un
hoy	hoy	mañana
se	se	ya
~…	~…	saben
~,	~,	prendida
[OTRAS-EM]	[OTRAS-EM]	de
hoy	hoy	resorri
nos	nos	dead
hemos	hemos	por
vuelto	vuelto	las
~,	~,
mañana	mañana
ya	ya
~…	~…
se	se
han	han
emprendido	emprendido
~…	~…
a	a
garrotazos	garrotazos
~…	~…
[HS:I1	[HS:I1
		[RISAS]			[RISAS]
		]			]
Pues	Pues
que	que
pa	pa
darles	dales
ese	ese
~,	~,
a	a
mí	mí
no	no
me	me
parece	paece
eso	eso
muy	muy
bien	bien
~.	~.
