estandar	dialectal	whisper
|T13|	|T13|	había
¿~	¿~	trabajado
Ustedes	Ustedes	en
qué	qué	las
sois	sois	mujeres
~?	~?	en
~,	~,	las
¿~	¿~	asociutunas.
de	de	Entonces
Madrid	Madrid	se
~?	~?	llaman
[HS:E1	[HS:E1	las
		Sí			Sí	de
~.	~.	tuna
		]			]	fíjete
[HS:E2	[HS:E2	si
		Sí			Sí	estaba
~.	~.
		]			]
[HS:E1	[HS:E1
		Sí			Sí
~,	~,
sí	sí
~.	~.
		]			]
Allí	Allí
tengo	tengo
yo	yo
un	un
~,	~,
un	un
nieto	nieto
~.	~.
[HS:E1	[HS:E1
		Sí			Sí
~.	~.
		]			]
Estu-	Estu-
~,	~,
que	que
estudió	estudió
y	y
que	que
luego	luego
se	se
hizo	hizo
la	la
carrera	carrera
y	y
está	está
allí	allí
~.	~.
