estandar	dialectal	whisper
Una	Una	una
~,	~,	destalle
detrás	detrás	va
lleva	lleva	dorro
dos	dos	de
ru-	ru-	cicas,
~,	~,	una
dos	dos	rueda,
ruedecicas	ruedecicas	es
~.	~.	para
Una	Una	que
rueda	rueda	vengan
es	es	al
pa	pa	bón
que	que	y
venga	venga	la
el	el	otra
carbón	carbón	es
y	y	para
la	la	que
otra	otra	vayan.
es	es	Entonces
pa	pa	tú
que	que	cogías
vaya	vaya	si
~,	~,	veías
entonces	entonces	que
tú	tú	estaba
cogías	cogías	eso,
~,	~,	por
si	si	un
veías	veías	poco
que	que	y
estaba	estaba	te
eso	eso	ir
~,	~,	mirando
pos	pos	con
le	le	un
traías	traías	vistaje
un	un	ahí,
poquitín	poquitín	un
~,	~,	vistaje
[R-Vhc]	[R-Vhc]	ahí
mirando	mirando	que
~,	~,	no
en	en	te
un	un	quema
cristal	cristal	la
que	que	vista,
hay	hay	porque
~,	~,	eso
un	un	es
cristal	cristal	como
que	que	un
hay	hay	eso
no	no	de
te	te	eso
quema	quema	que
la	la	es
vista	vista	un
~,	~,	desordado,
porque	porque	de
esa	esa	fuerte,
~,	~,	pero
eso	eso	un
es	es	vistaje
como	como	que
un	un	lleva
eso	eso	un
de	de	vistaje
~,	~,	así,
elect-	elect-	que
~,	~,	tú
eso	eso	lo
que	que	ves
es	es	todo
sol-	sol-	bien,
~,	~,	pero
de	de	no
soldar	soldar	te
~,	~,	perjudica
[HS:E2	[HS:E2	la
		[Asent]			[Asent]	vista.
~.	~.	Tú
		]			]	mirad
de	de	ahí
fuerte	fuerte	los
~.	~.	jelboles
Pero	Pero	lo
el	el	ves,
cristal	cristal	un
que	que	poco
lleva	lleva	y
~,	~,	te
[A-Inn]	[A-Inn]	impastraso
está	está	para
así	así	la
~,	~,	arte
que	que	de
tú	tú	un
lo	lo	mío.
ves	ves	Mirando
to	to	siempre,
bien	bien	es
~,	~,	una
pero	pero	ventana
no	no	que
te	te	haya
perjudica	perjudica	vinando
la	la	a
vista	vista	la
~.	~.	pantalla,
Tú	Tú	a
miras	miras	la
allí	allí
los	los
carbones	carbones
~,	~,
los	los
ves	ves
~,	~,
un	un
poquitín	poquitín
pa	pa
atrás	atrás
o	o
pa	pa
alante	alante
~,	~,
según	según
~,	~,
mirando	mirando
siempre	siempre
por	por
una	una
ventana	ventana
que	que
hay	hay
mirando	mirando
a	a
la	la
pa-	pa-
~,	~,
al	al
cine	cine
~,	~,
a	a
la	la
pantalla	pantalla
~.	~.
