estandar	dialectal	whisper
Y	Y	y
perdices	perdices	perdiste
~,	~,	y
y	y	de
de	de	pavo,
pavos	pavos	y
~.	~.	de
De	De	todo
todo	todo	esto,
esto	esto	pero
~,	~,	a
pero	pero	gran
[L-Otra:	[L-Otra:	cantidad,
		amb			amb	que
		]			]	a
gran	gran	nosotros
cantidad	cantidad	son
~,	~,	tan
que	que	poco
ya	ya	buenos
no	no	como
son	son	anos,
tampoco	tampoco	es
buenos	buenos	como
como	como	sea.
antes	antes	Antes,
~,	~,	como
las	las	lo
cosas	cosas	fíjamos
como	como	en
sean	sean	casa,
~.	~.	era
Antes	Antes	bueno,
~,	~,	era
como	como	bueno,
lo	lo	ahora
hacíamos	hacíamos	pienso,
en	en	si
casa	casa	en
~,	~,	su
[HS:E1	[HS:E1	piensa
		Claro			Claro	ya
~,	~,	va.
más	más	Entonces,
natural	natural	ahora,
~.	~.	ahora
		]			]	sí
era	era	matan
bueno	bueno	cero,
~,	~,	a
[HS:E1	[HS:E1	la
		[Asent]			[Asent]	casa
~.	~.	que
		]			]	matan
era	era	cero,
bueno	bueno	casi
~.	~.	no
Ahora	Ahora	sé
pienso	pienso	qué
~,	~,	a
pienso	pienso	nada,
~,	~,	porque
pienso	pienso	van
y	y	al
hala	hala	riesgo
~.	~.	de
Entonces	Entonces	cuando
~…	~…	lo
Ahora	Ahora	tienen
~,	~,	que
ahora	ahora	comer,
si	si	está
matan	matan	fatal,
cerdo	cerdo	o
~,	~,	que
a	a	no
la	la	se
casa	casa	seca.
que	que	La
matan	matan	carne
cerdo	cerdo	lleva
~,	~,	mucha
casi	casi	agua,
no	no	y
secan	secan	no
nada	nada	se
porque	porque	seca.
van	van	Almo,
al	al	es
riesgo	riesgo	que
de	de	se
cuando	cuando	queda
lo	lo	unos
tienen	tienen	huecos,
que	que	la
comer	comer	dentro,
está	está	y
fatal	fatal	aquello
~,	~,	se
porque	porque	pone
no	no	amarillo,
se	se	rancio,
seca	seca	ya
~.	~.	no,
[HS:E1	[HS:E1	ya
		Claro			Claro	no
~.	~.	vale.
		]			]	Ahora,
La	La	la
carne	carne	gente
lleva	lleva	hace
mucha	mucha	esto,
agua	agua	matan,
[HS:E1	[HS:E1	los
		[Asent]			[Asent]	que
~.	~.	matan,
		]			]	pero
y	y	que
no	no	hay
se	se	alguna
seca	seca	casa
~.	~.	que
[HS:E1	[HS:E1	matan.
		Claro			Claro	Lo,
~.	~.	lo
		]			]	dejando
Es	Es	unos
que	que	días,
se	se	y
queda	queda	a
unos	unos	secar
huecos	huecos	un
adentro	adentro	poquito
y	y	y
aquello	aquello	de
se	se	esto
pone	pone	lo
amarillo	amarillo	cortan,
~,	~,	y
[HS:E1	[HS:E1	lo
		[Asent]			[Asent]	he
~.	~.	echado
		]			]	a
rancio	rancio	la
[HS:E1	[HS:E1	costa.
		[Asent]			[Asent]	Y
~.	~.	está.
		]			]	Por
y	y	secar,
ya	ya	apenas
no	no	nadie
~,	~,	es
no	no	deca
~,	~,	nada,
ya	ya	porque
no	no	no
vale	vale	se
~.	~.	seca.
Ahora	Ahora	No
la	la	se
gente	gente	seca,
hace	hace	sino
esto	esto	por
~:	~:	los
matan	matan	pienso,
~,	~,	sino
los	los	lo
que	que	que
matan	matan	es,
cerdo	cerdo	que
~,	~,	no
que	que	se
hay	hay	seca
alguna	alguna	nada.
casa	casa	Ya,
que	que	perdí,
mata	mata
~,	~,
lo	lo
~,	~,
lo	lo
~,	~,
lo	lo
dejan	dejan
unos	unos
días	días
secar	secar
un	un
poquito	poquito
y	y
después	después
lo	lo
cortan	cortan
y	y
lo	lo
echan	echan
al	al
congelador	congelador
~.	~.
Y	Y
ya	ya
está	está
~.	~.
Pero	Pero
secar	secar
~,	~,
apenas	apenas
nadie	nadie
seca	seca
nada	nada
~.	~.
Porque	Porque
no	no
se	se
seca	seca
~,	~,
no	no
se	se
seca	seca
sido	sido
~…	~…
por	por
los	los
piensos	piensos
~,	~,
sido	sido
~…	~…
no	no
sé	sé
lo	lo
que	que
es	es
que	que
no	no
~…	~…
~,	~,
no	no
se	se
seca	seca
nada	nada
~.	~.
Ya	Ya
te	te
digo	digo
~.	~.
