estandar	dialectal	whisper
No	No	Tú
nos	nos	estos
va	va	no
a	a	era
dar	dar	que
tiempo	tiempo	se
~,	~,	me
[HS:I3	[HS:I3	colocan
		¿~			¿~	abajo,
Qué	Qué	moist
hora	hora	y
es	es	menos
~?	~?	dame
		]			]	un
yo	yo	poco
creo	creo	para
~,	~,	llegar
porque	porque	a
~…	~…	mão.
son	son	Que
las	las	ciudadanos
cinco	cinco	se
y	y	les
veinte	veinte	son<|sw|>
~,	~,	al
creo	creo	perdiado
~.	~.	luego
[HS:E1	[HS:E1	ha
		Sí			Sí	rec
~.	~.	Spy
		]			]	glam.
[HS:E3	[HS:E3	Longando
		¿~			¿~	caregiver
Pero	Pero	Tolsa
a	a	del
qué	qué	tren.
hora	hora	Lo
hemos	hemos	he
quedado	quedado	amidido
~?	~?	en
 	 	una
 	 	Eventiva
 	 	de
 	 	la
 	 	Universidad
 	 	oriental
 	 	descending
 	 	en
 	 	Santos.outing.
