estandar	dialectal	whisper
me	me	Me
acostaba	acostaba	ha
yo	yo	costado
en	en	la
la	la	inevitable
habitación	habitació	y
~,	~,	ella
y	y	me
ella	ella	tía
allí	allí	como
metida	metía	le
~,	~,	quedó
como	como	en
[A-Inn]	[A-Inn]	la
estás	estás	tatu,
tú	tú	hablando
~,	~,	con
hablando	hablando	el
con	con	volaventana.
el	el	yo
novio	novio	la
por	por	vengó
la	la	en
ventana	ventana	el
~.	~.	amor
Pero	Pero
si	si
es	es
que	que
la	la
ventana	ventana
estaba	estaba
así	así
~,	~,
si	si
no	no
podías	podías
de	de
darle	darle
un	un
~|	~|
bueno	bueno
~,	~,
yo	yo
no	no
le	le
daba	daba
besos	besos
apenas	apenas
~.	~.
Contri	Contri
más	más
~,	~,
a	a
menos	menos
~.	~.
