estandar	dialectal	whisper
Al	Al	Sí,
principio	principio	pio,
cuando	cuando	cuando
empezó	empezó	empezó
~|	~|	donde
Donde	Donde	yo
~,	~,	creo
donde	donde	que
~,	~,	no
donde	donde	se
yo	yo	había
trabajo	trabajo	escuchado,
que	que	que
es	es	era
una	una	un
~…	~…	peco
~,	~,	de
no	no	la
sé	sé	ciudad
si	si	de
habéis	habéis	Sri
escuchado	escuchao	Lanka,
~,	~,	ahí
Ojiblanca	Ojiblanca	empezó
~,	~,	primero
[HS:E4	[HS:E4	la
		Sí			Sí	cooperativa
~,	~,	de
sí	sí	aquí
~.	~.	de
		]			]	la
ustedes	ustedes	Comarca
habéis	habéis	de
escuchado	escuchao	Antiquera.
el	el	Primero,
aceite	aceite	¿sabes?
Ojiblanca	Ojiblanca	Luego,
~.	~.	claro,
Ahí	Ahí	ya
empezó	empezó	la
primero	primero	de
la	la	Córdoba
cooperativa	cooperativa	más
de	de	agrega,
aquí	aquí	el
de	de	que
la	la	hicieron
comarca	comarca	agregarse,
de	de	o
Antequera	Antequera	venga,
~,	~,	luego
primero	primero	ya
~,	~,	que
¿~	¿~	pasa,
sabes	sabes	uno
~?	~?	con
[HS:E4	[HS:E4	otro
		~¡~			~¡~	empieza
Ah	Ah	mientras
~!	~!	más
		]			]	eso
Luego	Luego	es
claro	claro	más
~,	~,	grande
ya	ya	el
la	la	grupo
~…	~…	y
de	de	es
Córdoba	Córdoba	mucho
más	más	mejor,
~…	~…	el
agregada	agregá	más
[OTRAS-EM]	[OTRAS-EM]	para
Quisieron	Quisieron	los
agre-	agre-	días
~,	~,	de
agregarse	agregarse	extraerla,
~,	~,	la
pues	pues	aceite,
venga	venga	todo
~.	~.	eso.
Luego	Luego	Y
ya	ya	ahí
~,	~,	95,
¿~	¿~	lo
qué	qué	que
pasa	pasa	pasa
~?	~?	es
Unos	Unos	que
con	con	es
otros	otros	solamente
empiezan	empiezan	para
~,	~,	lo
mientras	mientras	que
más	más	es
eso	eso	la
~,	~,	aceite,
más	más	y
grande	grande	para
el	el	vender
grupo	grupo	la
~,	~,	aceite
y	y	y
es	es	todo
mucho	mucho
mejor	mejor
~,	~,
es	es
más	más
[HS:E4	[HS:E4
		Claro			Claro
~.	~.
		]			]
pa	pa
ir	ir
al	al
extranjero	extranjero
~,	~,
el	el
aceite	aceite
y	y
todo	to
eso	eso
y	y
hay	hay
noventa_y_cinco	noventa_y_cinco
~,	~,
lo	lo
que	que
pasa	pasa
que	que
solamente	solamente
pa	pa
lo	lo
que	que
es	es
el	el
aceite	aceite
~,	~,
pa	pa
vender	vendé
el	el
aceite	aceite
y	y
todo	to
eso	eso
~.	~.
