estandar	dialectal	whisper
De	De	de
~,	~,	avía
había	había	fábrica
fábricas	fábricas	de
[R-Mcr]	[R-Mcr]	los
de	de	pueblos
hielo	hielo	como
~,	~,	en
[HS:E1	[HS:E1	Palma,
		[Asent]			[Asent]	mismo,
~.	~.	en
		]			]	Palma,
[OTRAS-EM]	[OTRAS-EM]	en
tanto	tanto	la
en	en	calle
los	los	Vignasa,
pueblos	pueblos	hay,
como	como	no
en	en	me
Palma	Palma	acuerdo
mismo	mismo	cómo
~.	~.	se
[HS:E1	[HS:E1	llama
		[Asent]			[Asent]	eso.
~.	~.	Hay
		]			]	un
En	En	instituto
Palma	Palma	que
~,	~,	es
[OTRAS-EM]	[OTRAS-EM]	de
en	en	espar
la	la	de
calle	calle	suestación,
Vinyassa	Vinyassa	luego
[HS:E1	[HS:E1	hay
		Sí			Sí	una
~.	~.	manzana
		]			]	antes
hay	hay	de
[OTRAS-EM]	[OTRAS-EM]	llegar
ahora	ahora	que
no	no	es
me	me	la
acuerdo	acuerdo	calle
cómo	cómo	Vignasa
se	se	y
llama	llama	eso
eso	eso	se
~;	~;	llamaba
[OTRAS-EM]	[OTRAS-EM]	frío
hay	hay	industrial
un	un	y
instituto	instituto	estaba
que	que	hecho,
es	es	lo
este	este	sé
[L-Otra:	[L-Otra:	por
		des			des	qué
parc	parc	voy
de	de	a
ses	ses	tirar
estacions	estacions	abajo
		]			]	yo,
~;	~;	estaba
[HS:E1	[HS:E1	hecho
		Sí			Sí	todo
~,	~,	de
el	el	cámaras
~,	~,	una
el	el	manzana
de	de	casi
~…	~…	entera,
		]			]	daba
luego	luego	dos
hay	hay	calles,
una	una	daba
manzana	manzana	la
antes	antes	calle
de	de	de
llegar	llegar	esta
que	que	que
es	es	está
la	la	el
calle	calle	instituto
Vinyassa	Vinyassa	y
~,	~,	la
[HS:E1	[HS:E1	calle
		Sí			Sí	Vignasa
~.	~.	y
		]			]	eso
y	y	eran
eso	eso	cámaras
se	se	recubiertas
llamaba	llamaba	de
Frío_Industrial	Frío_Industrial	coche
~,	~,	de
[HS:E1	[HS:E1	Jorge
		¿~			¿~	y
Ah	Ah	había
~,	~,	toda
sí	sí	una
~?	~?	fábrica
		]			]	de
y	y	hielo
~…	~…	que
y	y	hacían
estaba	estaba	barras,
hecho	hecho	que
~,	~,	eso
lo	lo	más
sé	sé	yaba
porque	porque	noche
lo	lo	y
he	he	día
tirao	tirao	y
abajo	abajo	en
yo	yo	un
~,	~,	mayor
[RISA]	[RISA]	también
estaba	estaba	y
hecho	hecho	en
todo	todo	campos
de	de	también
cámaras	cámaras	había
~,	~,	una
[HS:E1	[HS:E1	epsilon,
		[Asent]			[Asent]	crió
~.	~.	el
		]			]	motor
una	una	todo
manzana	manzana	lo
casi	casi	que
entera	entera	podía
~,	~,
daba	daba
a	a
dos	dos
calles	calles
~,	~,
daba	daba
a	a
la	la
calle	calle
esta	esta
que	que
está	está
el	el
instituto	instituto
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
y	y
a	a
la	la
calle	calle
Vinyassa	Vinyassa
~,	~,
[HS:E1	[HS:E1
		Sí			Sí
~,	~,
la	la
~…	~…
		]			]
y	y
~…	~…
y	y
eso	eso
eran	eran
cámaras	cámaras
recubiertas	recubiertas
de	de
[A-InfErr:	[A-InfErr:
		coche			coche
		]			]
~,	~,
de	de
corcho	corcho
y	y
había	había
toda	toda
~…	~…
[R-Mcr]	[R-Mcr]
una	una
fábrica	fábrica
de	de
hielo	hielo
que	que
hacían	hacían
barras	barras
~,	~,
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
que	que
eso	eso
marchaba	marchaba
noche	noche
y	y
día	día
~;	~;
y	y
en	en
Llucmajor	Llucmajor
[L-Otra:	[L-Otra:
		també			també
		]			]
y	y
en	en
Campos	Campos
[L-Otra:	[L-Otra:
		també			també
		]			]
había	había
una	una
fábrica	fábrica
de	de
~…	~…
[HS:E1	[HS:E1
		Sí			Sí
~,	~,
pero	pero
antiguamente	antiguamente
no	no
habría	habría
		]			]
