estandar	dialectal	whisper
Sí	Sí	tenía
~.	~.	huevo,
[OTRAS-EM]	[OTRAS-EM]	me
Tenía	Tenía	on
huevos	huevos	mi
~,	~,	padre
a	a	y
lo	lo	iba
mejor	mejor	por
mi	mi	ahí
padre	padre	repartir
iba	iba	pan
por	por	de
ahí	ahí	aquísos
~,	~,	de
repartía	repartía	la
el	el	panificadora
pan	pan	y
de	de	él
aquí	aquí	me
ya	ya	traía
de	de	los
la	la	huevos
panificadora	panificadora	del
y	y	campo
él	él	y
me	me	lo
traía	traía	vendió
los	los	dos
huevos	huevos	días.
del	del	Noisabano
campo	campo	encarad
y	y	tilt
los	los	a
vendía	vendía	tu
yo	yo	well
allí	allí
~.	~.
Y	Y
otras	otras
veces	veces
no	no
eran	eran
del	del
campo	campo
~:	~:
«~	«~
Estos	Estos
son	son
del	del
campo	campo
~»	~»
~,	~,
[Rndo:	[Rndo:
		y			y
eran	eran
de	de
granja	granja
~,	~,
[RISA]	[RISA]
pero	pero
eran	eran
frescos	frescos
~,	~,
los	los
echaba	echaba
en	en
un	un
canasto	canasto
y	y
todos	todos
mezclaos	mezclaos
		]			]
~.	~.
