estandar	dialectal	whisper
Mira	Mira	Mira,
~,	~,	mi
[G-Mst]	[G-Mst]	pinza.
mis	mis	De
pinzas	pinzas	estigera.
~,	~,	Atropina
mis	mis	para
tijeras	tijeras	que...
~,	~,	Tenia
[R-Ind]	[R-Ind]	que
atropina	atropina	poner
pa	pa	para
~|	~|	que
que	que	el
había	había	animal...
que	que	El
~|	~|	único
le	le	logro
tenías	tenías	respira
que	que	la
poner	poné	mejor
pa	pa	sábado
que	que	que
el	el	tengo
animalico	animalico	que...
luego	luego	Por
respirara	respirara	eso
mejor	mejor	te
~.	~.	digo...
¿~	¿~	Que
Sabes	Sabes	esto
lo	lo	es...
que	que	esto
te	te	es...
quiero	quiero	Y
~…	~…	aquí
~?	~?	tengo
Por	Por	por
eso	eso	esto.
te	te	Tripa
digo	digo	de
que	que	pie
esto	esto	de
es	es	ferro
~,	~,	para
esto	esto	coxelo.
es	es	Lavar
~.	~.	donde
Y	Y	está
aquí	aquí	metendo
tengo	tengo	a
pos	pos	la
de	de	corta...
to	to	De
~.	~.	tripa
Míralo	Míralo	de...
~,	~,	de...
¿~	¿~	de...
no	no	de
lo	lo	la
estás	estás	perro.
viendo	viendo	A
~?	~?	que
[R-Ind]	[R-Ind]	luego
Tripa	Tripa	se
de	de	le
pie	pie	cayaron
de	de	los
perro	perro	puntos
pa	pa	solo
coserlo	coselo	para
~.	~.	no
¿~	¿~
Lo	Lo
ves	ves
adónde	ánde
está	está
metía	metía
[HS:E2	[HS:E2
		¿~			¿~
Tripa	Tripa
de	de
piel	piel
de	de
perro	perro
~?	~?
		]			]
con	con
alcohol	alcohol
pa	pa
~…	~…
~?	~?
De	De
tripa	tripa
de	de
~,	~,
de	de
~,	~,
de	de
los	los
perros	perros
~.	~.
Pa	Pa
que	que
luego	luego
se	se
le	le
cayeran	cayeran
los	los
puntos	puntos
solos	solos
~,	~,
pa	pa
no	no
tocarlo	tocalo
~.	~.
