estandar	dialectal	whisper
Rico	Rico	es
de	de	que
comer	comer	puede
~,	~,	bien
se	se	porque
hace	hace	si
cada	cada	tú
uno	uno	puedes
~,	~,	freír
[Rndo:	[Rndo:	un
		el			el	podo
que	que	o
puede	puede	vas
		]			]	a
[RISAS]	[RISAS]	sallo
~¡~	~¡~	si
el	el	no
que	que	lo
puede	puede	puedes
~!	~!	comprar
Porque	Porque	y
si	si	no
tú	tú	puedes
puedes	puedes	asado,
freír	freí	al
un	un	vano
pollo	pollo	puede
~,	~,	ir
o	o	porque
asarlo	asalo	el
~;	~;	vas
si	si	siempre
no	no	es
lo	lo	más
puedes	puedes	caro,
comprar	comprá	si
y	y	os
no	no	tienes
lo	lo	comer,
puedes	puedes	boring
asar	asá	para
al	al	ir
bar	ba	un
no	no	Turkish
puedes	puedes	pero
ir	í	noерв치도,
~,	~,	p約ste
porque	porque	que
en	en	vos
el	el	me
bar	ba	hasשcaointado
siempre	siempre
es	es
más	más
caro	caro
~,	~,
[HS:E	[HS:E
		Claro			Claro
~.	~.
		]			]
te	te
lo	lo
tienes	tienes
que	que
comer	comé
~,	~,
frío	frío
y	y
en	en
tu	tu
casa	casa
~.	~.
