estandar	dialectal	whisper
Mis	Mis	Ya
nietas	nietas	ahí
llevan	llevan	es
mejor	mejor	momento
vida	vida	de
que	que	darle
la	la	a
que	que	la
yo	yo	cautiousa
llevé	llevé	mountedsupport.
 	 	Creo
 	 	que
 	 	hoy
 	 	la
 	 	routé
 	 	demonstrate
 	 	el
 	 	egy
 	 	–
 	 	la
 	 	ent
 	 	шile
 	 	radioa
 	 	–
 	 	este
 	 	le
 	 	into-
 	 	estallando
 	 	a
 	 	una
 	 	chegou
 	 	un
 	 	palco
 	 	para
 	 	angry
 	 	y
 	 	sabían
 	 	kung-
 	 	shear
 	 	a
 	 	todos
 	 	los
 	 	sitios.
 	 	Habíamos
 	 	cerrado
 	 	hasta
 	 	la
 	 	c
 	 	Emmita
 	 	de
 	 	la
 	 	Perna
 	 	del
 	 	Festival
