estandar	dialectal	whisper
Sí	Sí	Sí,
~,	~,	o
o	o	sea,
sea	sea	tenía,
~,	~,	o
tenía	tenía	sea,
no	no	mataba
~,	~,	los
o	o	ternos.
sea	sea	En
~,	~,	su
mataban	mataban	casa,
los	los	en
cerdos	cerdos	su
~.	~.	casa,
Cada	Cada	le
uno	uno	han
en	en	trabajado,
su	su	o
caso	caso	sea,
~,	~,	comida.
en	en	Sí,
su	su	sí.
casa	casa	Y
~,	~,	en
[OTRAS-EM]	[OTRAS-EM]	el
le	le	castellano,
daban	daban	no
trabajo	trabajo
~,	~,
o	o
sea	sea
comida	comida
~,	~,
le	le
~…	~…
Yo	Yo
en	en
castellano	castellano
no	no
puedo	puedo
~…	~…
[RISAS]	[RISAS]
