estandar	dialectal	whisper
Una	Una	una
tabla	tabla	tabla
~,	~,	se
se	se	le
le	le	pone
pone	pone	en
en	en	un
un	un	sitio
sitio	sitio	y
y	y	a
allí	allí	veces
se	se	se
le	le	le
coge	coge	coge
~…	~…	el
~,	~,	material,
el	el	le
matarife	matarife	metré
le	le	el
mete	mete	cuchillo,
el	el	se
cuchillo	cuchillo	mangrá
~,	~,	y
sangra	sangra	después
y	y	se
después	después	le
se	se	hace
le	le	que
~,	~,	más,
se	se	se
le	le	camara
hace	hace	que
quemar	quemar	más
~.	~.	el
Quemar	Quemar	pelo
~,	~,	y
quemar	quemar	después
el	el	se
pelo	pelo	le
~.	~.	hace
Y	Y	con
después	después	la
se	se	val
~,	~,	limpiar
se	se	con
le	le	los
hace	hace	cuchillos
con	con	y
agua	agua	cosas,
limpiar	limpiar	el
~.	~.	limpiar
Con	Con	toda
los	los	la
cuchillos	cuchillos	piel
y	y	bien,
cosas	cosas	quitar
~,	~,	todo
se	se	el
limpia	limpia	pendo
toda	toda	y
la	la	a
piel	piel	verlo,
bien	bien	es
~,	~,	esportizarlo
quitar	quitar	y
todo	todo	a
el	el	conservarlo
pelillo	pelillo	y
[HS:E1	[HS:E1	hacer
		[Asent]			[Asent]	el
~.	~.
		]			]
y	y
abrirlo	abrirlo
~,	~,
y	y
descuartizarlo	descuartizarlo
y	y
~…	~…
~,	~,
y	y
a	a
conservarlo	conservarlo
~…	~…
y	y
a	a
hacer	hacer
embutido	embutido
~.	~.
