estandar	dialectal	whisper
Pos	Pos	Por
que	que	que
la	la	la
madre	madre	madre
~,	~,	de
la	la	la
leche	leche	leche
fuera	fuera	fuera
floja	floja	fruca
o	o	o
el	el	al
niño	niño	niño
quisiera	quisiera	y
más	más	ya
alimento	alimento	era
~,	~,	más
pues	pues	alimento,
~…	~…	pues,
los	los	los
hacían	hacían	hacían
papillas	papillas	papillas
~,	~,	que
de	de	se
esas	esas	se
que	que	llaman
llaman	llaman	papillas,
papillas	papillas	la
~.	~.	alina
La	La	que
harina	harina	venden
que	que	en
venden	venden	las
~,	~,	tiendes
las	las	en
tienen	tienen	la
en	en	part
la	la	de
~,	~,	la
en	en	página
las	las
tien-	tien-
~,	~,
en	en
las	las
farmacias	farmacias
~…	~…
