estandar	dialectal	whisper
¿~	¿~	¿Y
Y	Y	qué
qué	qué	es
~…	~…	que
~,	~,	es
y	y	que
qué	qué	hacía?
hacías	hacías	Si
~?	~?	no
Si	Si	se
no	no	podía
se	se	dar
podía	podía	cuenta.
otra	otra	Todo
cosa	cosa	el
~.	~.	mundo,
Y	Y	todo
todo	todo	el
el	el	mundo
mundo	mundo	era
~…	~…	muy
~,	~,	igual.
todo	todo	Y
el	el	cada
mundo	mundo	vez
lo	lo	podría
hacíamos	hacíamos	evitar
igual	igual	los
~.	~.	cargos
Llegaba	Llegaba	para
el	el	ustedes,
tiempo	tiempo	por
de	de	el
ir	ir	mismo.
a	a	¿Quién
~,	~,	ha
a	a	estado
quitar	quitar	al
los	los	corredor?
cardos	cardos	Por
pa	pa	el
luego	luego	mismo.
segar	segar	¿Driemos
~,	~,	a
oye	oye	las
~,	~,	escenas,
si	si	que
no	no	no
iban	iban	pudiera
toavía	toavía	salir?
al	al	Si
colegio	colegio	se
~,	~,	está
pues	pues	en...
~…	~…	a
decíamos	decíamos	ver
a	a	si
las	las	pudiera
vecinas	vecinas	levantar
si	si	las.
no	no	¿Vas
podían	podían	a
salir	salir	ver?
~:	~:	Por
«~	«~	el
Si	Si	mismo.
se	se	No
caen	caen	lo
a	a	sé
ver	ver	de
si	si	ahí
pueden	pueden	además,
levantarlas	levantalas	el
~»	~»
~.	~.
¿~	¿~
Qué	Qué
vas	vas
a	a
hacer	hacer
~?	~?
No	No
podías	podías
~…	~…
No	No
es	es
que	que
~…	~…
ha	ha
sido	sido
esclavo	esclavo
~.	~.
