estandar	dialectal	whisper
[L-Otra:	[L-Otra:	la
		Ara			Ara	flotaNarrator
me	me	Bul
troben	troben
un	un
poquet	poquet
malament	malament
perquè	perquè
justament	justament
sempre	sempre
past	past
jo	jo
i	i
faig	faig
però	però
justament	justament
me	me
vaig	vaig
fer	fer
mal	mal
a	a
s'esquena	s'esquena
i	i
ara	ara
no	no
he	he
pogut	pogut
pastar	pastar
~…	~…
no	no
ara	ara
no	no
ha	ha
quedat	quedat
gens	gens
~,	~,
no	no
~,	~,
no	no
se	se
com	com
nira	nira
això	això
~,	~,
ara	ara
he	he
tret	tret
un	un
panet	panet
que	que
tenia	tenia
congelat	congelat
~,	~,
però	però
~,	~,
el	el
veis	veis
an	an
aquest	aquest
panet	panet
~?	~?
Però	Però
congelat	congelat
~,	~,
per	per
que	que
poguessiu	poguessiu
tastar	tastar
es	es
formatge	formatge
però	però
no	no
sé	sé
qué	qué
ferem	ferem
~,	~,
és	és
congelat	congelat
ara	ara
aquest	aquest
pa	pa
~,	~,
que	que
l'he	l'he
posat	posat
un	un
poquet	poquet
dins	dins
es	es
forn	forn
		]			]
~.	~.
