estandar	dialectal	whisper
Si	Si	En
sabe	sabe	el
usted	usted	caso
[HS:I	[HS:I	de
		Bueno			Bueno	la
~.	~.	matanza,
		]			]	no
un	un	sabemos
montón	montón	nada
de	de	como
cosas	cosas	se
~,	~,	hacía
y	y	antes.
nosotros	nosotros	Nosotros
que	que	vamos
de	de	al
la	la	supermercado,
matanza	matanza	compramos
no	no	los
~…	~…	chorizos
~,	~,	y
no	no
sabemos	sabemos
nada	nada
~…	~…
pues	pues
cómo	cómo
se	se
hacía	hacía
antiguamente	antiguamente
~,	~,
porque	porque
nosotros	nosotros
vamos	vamos
al	al
supermercado	supermercado
~,	~,
compramos	compramos
los	los
chorizos	chorizos
~,	~,
[HS:I	[HS:I
		Bueno			Bueno
~,	~,
antes	antes
la	la
matan-	matan-
		]			]
y	y
ya	ya
está	está
pero	pero
~…	~…
