estandar	dialectal	whisper
Aquí	Aquí	Ah,
abajo	abajo	allá
~,	~,	abajo
en	en	en
el	el	el
río	río	río
había	había	y
un	un	en
molino	molino	Molina,
de	de	de
piedra	piedra	piedras,
~…	~…	de
~,	~,	piedras,
de	de	y
piedras	piedras	ya
~…	~…	no
[A-PIn:	[A-PIn:	hay
		Echaban			Echaban	con
una	una	dos
ahí	ahí	piedras,
		]			]	que
con	con	los
dos	dos	movía
piedras	piedras	el
~,	~,	agua,
que	que	que
las	las	molía.
movía	movía	Y
el	el	después
agua	agua	lo
~,	~,	traíamos,
y	y	a
molía	molía	casa
~,	~,	se
y	y	llevaba
después	después	la
lo	lo	molina
traíamos	traíamos	y
pa	pa	llamábamos.
casa	casa	Y
~.	~.	hacíamos
Se	Se	igual
llevaba	llevaba	que
la	la	amazos,
molienda	molienda	por
que	que	ejemplo,
llamábamos	llamábamos	unos
~,	~,	jaldres.
y	y	No
hacíamos	hacíamos	precisamente
igual	igual	unos
que	que	jaldres,
amasas	amasas	pero
~,	~,	bueno,
por	por	amazado
ejemplo	ejemplo	la
~…	~…	arena
~,	~,	con
un	un	el
hojaldre	hojaldre	salía,
~.	~.	no
[HS:E1	[HS:E1	hay
		[Asent]			[Asent]	nada
~.	~.
		]			]
No	No
precisamente	precisamente
un	un
hojaldre	hojaldre
~,	~,
pero	pero
bueno	bueno
~,	~,
amasao	amasao
~…	~…
~,	~,
la	la
harina	harina
con	con
~…	~…
~,	~,
con	con
sal	sal
y	y
agua	agua
~,	~,
nada	nada
más	más
~.	~.
