estandar	dialectal	whisper
¿~	¿~	para
Hoy	Hoy	uno
tenemos	tenemos	pues
pa	pa	lo
uno	uno	hacemos
~?	~?	después
Pues	Pues	pasa
~…	~…	un
[HS:E1	[HS:E1	tiempito,
		[Asent]			[Asent]	hacíamos
~.	~.	otro
		]			]	y
lo	lo	así
hacemos	hacemos	fumo
~.	~.	haciendo
Después	Después	y
~…	~…	habían
pasado	pasado	haber
un	un	5
tiempito	tiempito	o
~,	~,	4,
hacíamos	hacíamos	6
otro	otro	o
y	y	5
así	así	o
fuimos	fuimos	4
haciendo	haciendo	porque
~,	~,	mi
y	y	hermano
habían	habían	ha
~…	~…	hecho
[OTRAS-EM]	[OTRAS-EM]	los
a	a	demás,
ver	ver	lo
~…	~…	ha
cinco	cinco	hecho
~,	~,	él
cinco	cinco	después
cuartos	uartos	de
~.	~.	que
Sí	Sí	ya
~,	~,	se
cinco	cinco	casó
cuartos	uartos	pero
porque	porque	los
mi	mi	4
hermana	hermana	o
ha	ha	4
hecho	hecho	así
~…	~…	los
los	los	hicimos
demás	demás	los
lo	lo	robo,
ha	ha	marcando
hecho	hecho	la
él	él	arena
después	después	a
de	de	la
~…	~…	cabeza
de	de	como
que	que	digo
ya	ya
se	se
casó	casó
~.	~.
Pero	Pero
los	los
cuartos	cuartos
así	así
lo	lo
hicimos	hicimos
nosotros	nosotros
~,	~,
cargando	cargando
la	la
arena	arena
a	a
la	la
~,	~,
a	a
la	la
cabeza	cabeza
~,	~,
como	como
digo	digo
yo	yo
~.	~.
