estandar	dialectal	whisper
El	El	el
jamón	jamón	jamón
se	se	se
echa	echa	echa
en	en	en
sal	sal	sal
~,	~,	y
y	y	se
se	se	tiene
tiene	tiene	unos
unos	unos	días
días	días	en
en	en	sal
sal	sal	y
y	y	se
se	se	pone
pone	pone	peso,
peso	peso	se
~.	~.	pone
Se	Se	peso
pone	pone	para
peso	peso	que
pa	pa	quede
que	que	frinizar
quede	quede	y
prensao	prensao	se
y	y	tiene
se	se	unos
tiene	tiene	veinte
unos	unos	días
veinte	veinte	y
días	días	después
~,	~,	ya
y	y	se
después	después	acolga
ya	ya	al
~,	~,	aire,
pues	pues	como
a	a	los
colgar	colgar	teoridos,
~,	~,	en
al	al	los
aire	aire	lagos
~,	~,	humanos
como	como	y
los	los	otros
chorizos	chorizos	no,
~:	~:	otra
unos	unos	vez,
lo	lo	solo
ahúman	ahúman
y	y
otros	otros
no	no
~;	~;
otros	otros
~,	~,
solo	solo
colgar	colgar
~.	~.
