estandar	dialectal	whisper
~…	~…	Ella
a	a	no
lo	lo	me
mejor	mejor	quedó
~,	~,	insegurada
na	na	ni
más	más	contasta
se	se	en
daban	daban	las数
cuenta	cuenta
~,	~,
quince	quince
días	días
antes	antes
o	o
así	así
~,	~,
ya	ya
todos	tos
las	las
noches	noches
~,	~,
[HS:I2	[HS:I2
		[A-PIn:			[A-PIn:
		Voy			Voy
por	por
una	una
silla	silla
pa	pa
esta	esta
~,	~,
		]			]
[A-Inn]	[A-Inn]
~.	~.
		]			]
pues	pues
~,	~,
[A-PIn:	[A-PIn:
		alrededor			alrededor
de	de
la	la
casa	casa
de	de
		]			]
la	la
novia	novia
~…	~…
