estandar	dialectal	whisper
Esto	Esto	que
se	se	todo
metía	metía	que
el	el	mete,
cubo	cubo	a
de	de	estas
agua	agua	c
caliente	caliente	unlimited추vo
en	en	de
vez	vez	agua
de	de	en
estar	está	cuello
haciendo	haciendo	meteras
esfuerzo	esfuerzo	r
~,	~,	SOLO.
se	se	Había
hacía	hacía	quesehen
así	así	a
~,	~,	caminar
le	le	ahorra
metías	metías	pepperería?
[Rndo:	[Rndo:	Ay,
		la			la	más
pezuña	pezuña
después	después
y	y
salía	salía
solo	solo
		]			]
~.	~.
[Rndo:	[Rndo:
		Había			Había
que	que
buscarse	buscarse
las	las
artimañas	artimañas
[A-Inn]	[A-Inn]
~.	~.
¿~	¿~
Te	Te
ríes	ríes
~…	~…
~?	~?
		]			]
[HS:E3	[HS:E3
		Para			Para
ir	ir
más	más
~,	~,
para	para
ir	ir
más	más
rápido	rápido
~.	~.
		]			]
[HS:E2	[HS:E2
		No			No
~,	~,
no	no
~,	~,
me	me
río	río
por	por
otra	otra
cosa	cosa
~.	~.
		]			]
Pa	Pa
ir	ir
más	más
rápido	rápido
~.	~.
