estandar	dialectal	whisper
Sí	Sí	Si,
~,	~,	bueno,
bueno	bueno	no
~,	~,	vinfrom
los	los	ustedes
anillos	anillos	en
~.	~.	elevenia
Yo	Yo	y
cuando	cuando	juguano
me	me	se
hice	hice	tan
novio	novio	bien
le	le	en
regalé	regalé	elevenia
el	el	si
anillo	anillo	nominas...
y	y	no
cuando	cuando
me	me
casé	casé
también	también
~…	~…
~,	~,
[TOS]	[TOS]
le	le
regalé	regalé
el	el
anillo	anillo
~.	~.
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
Hombre	Hombre
~,	~,
el	el
que	que
podía	podía
~,	~,
a	a
lo	lo
mejor	mejor
ella	ella
~,	~,
ella	ella
al	al
novio	novio
le	le
regalaba	regalaba
el	el
reloj	reló
~,	~,
él	él
le	le
regalaba	regalaba
los	los
pendientes	pendientes
o	o
uno	uno
de	de
eso	eso
~,	~,
un	un
aderezo	aderezo
~,	~,
no	no
~,	~,
¿~	¿~
cómo	cómo
se	se
llama	llama
eso	eso
~?	~?
~,	~,
un	un
~…	~…
