estandar	dialectal	whisper
Iban	Iban	Y
~…	~…	van
~,	~,	a
iban	iban	hablar
hablar	hablar	tu
tú	tú	tese
~…	~…	cien
te	te	chicos
decía	decía	y
el	el	querías
chico	chico	lo
si	si	querías
querías	querías	y
~,	~,	después
no	no	va
querías	querías	a
~,	~,	pedir
y	y	la
después	después	ordena
iba	iba	los
a	a	padres
pedir	pedir	al
~…	~…	padre
la	la	Sí
orden	orden	que
a	a	yo
los	los	lo
padres	padres	quería
~,	~,	Pues
al	al	a
padre	padre	cómo
~.	~.	lo
Si	Si	que
quería	quería	tiraron
o	o	del
no	no	albaile
quería	quería	para
~,	~,	que
eso	eso	dejará
es	es	la
[HS:E1	[HS:E1	afuera
		Sí			Sí	nada
~,	~,	solo
sí	sí	le
~.	~.	está
		]			]	noche
pasa	pasa	al
como	como	baile
lo	lo	que
que	que	vamos
t'he	t'he	a
dicho	dicho	hacer
de	de	baile
ir	ir	pues
al	al	y
baile	baile	después
pa	pa	ya
que	que	que
~…	~…	la
«~	«~	nueva
¿~	¿~	es
Dejará	Dejará	una
a	a	vecina
la	la	con
fulana	fulana	la
salir	salir	vida
esta	esta	y
noche	noche	la
al	al	sandaile
baile	baile	si
~,	~,	que
que	que	dejabamos
vamos	vamos	es
[R-Inf]	[R-Inf]	que
a	a	el
hacer	hacer	padre
baile	baile	decía
~?	~?	que
~»	~»	no
~.	~.
«~	«~
Pues	Pues
claro	claro
~»	~»
~.	~.
[HS:E1	[HS:E1
		Y			Y
~…	~…
		]			]
Después	Después
ya	ya
te	te
llamabas	llamabas
con	con
la	la
vecina	vecina
o	o
con	con
la	la
amiga	amiga
y	y
ibas	ibas
al	al
baile	baile
si	si
te	te
dejaban	dejaban
y	y
si	si
~,	~,
y	y
si	si
el	el
padre	padre
decía	decía
que	que
no	no
~,	~,
pues	pues
~…	~…
~,	~,
[HS:E2	[HS:E2
		Nada			Nada
~.	~.
		]			]
pues	pues
en	en
casa	casa
~.	~.
