estandar	dialectal	whisper
Irse	Ise	que
~,	~,	se
irse	ise	quería
~,	~,	ir
irse	ise	con
~.	~.	sus
[HS:I4	[HS:I4	hijos.
		Que			Que	O
se	se	sea,
quería	quería	muy
ir	ir	camaracol,
con	con	yo
sus	sus	creo
hijos	hijos	que
~.	~.	realmente
		]			]	sí.
Porque	Porque	Oye,
estaba	estaba	si
muy	muy	es
escapada	escapá	que
con	con	no
sus	sus	es
hijos	hijos	que
~,	~,	esa
te	te	mujer
acuerdas	acuerdas	no
con	con	es
sus	sus	a
hijos	hijos	mi
[HS:I4	[HS:I4
		Naturalmente			Naturalmente
~,	~,
sí	sí
~,	~,
oye	oye
si	si
es	es
que	que
no	no
es	es
normal	normal
~.	~.
		]			]
Oy	Oy
~,	~,
con	con
sus	sus
hijos	hijos
~,	~,
que	que
esa	esa
mujer	mujer
hay	hay
que	que
ver	ver
lo	lo
que	que
ha	ha
hecho	hecho
por	por
sus	sus
hijos	hijos
~.	~.
