estandar	dialectal	whisper
No	No
~.	~.
Solamente	Solamente
tres	tres
viajes	viajes
importantes	importantes
~.	~.
Y	Y
eso	eso
lo	lo
había	había
imitao	imitao
~,	~,
porque	porque
igual	igual
de	de
hacer	hacer
esos	esos
edificios	edificios
que	que
han	han
hecho	hecho
~,	~,
conservo	conservo
las	las
bóvedas	bóvedas
~,	~,
conservo	conservo
eso	eso
~,	~,
y	y
hago	hago
las	las
barbacoas	barbacoas
adentro	adentro
y	y
eso	eso
imita	imita
al	al
Sacromonte_de_Granada	Sacromonte_de_Granada
~.	~.
Mira	Mía
qué	qué
vistas	vistas
tan	tan
alegres	alegres
~.	~.
