estandar	dialectal	whisper
Malísimamente	Malísimamente	Malísimamente.
~.	~.	Era
[HS:E1	[HS:E1	la
		Sí			Sí	hija
~.	~.	pequeña.
		]			]	Era
Era	Era	la
la	la	hija
hija	hija	pequeña.
pequeña	pequeña	No,
~,	~,	no,
[HS:I2	[HS:I2	no.
		Era			Era	Era
la	la	la
cosa	cosa	hija
así	así	pequeña,
~.	~.	pero
		]			]	era
era	era	la
la	la	centricienta.
hija	hija	La
pequeña	pequeña	única.
~.	~.	Sí,
No	No	pero
~,	~,	la
no	no	centricienta.
~,	~,	Hemos
no	no	cuatro
~.	~.	hermanos.
Era	Era	Dos
la	la	con
hija	hija	carreras.
pequeña	pequeña	Dos
~,	~,	con
pero	pero	carreras
era	era	y
~…	~…	dos
la	la	abro
cenicienta	cenicienta	y
de	de
la	la
casa	casa
[HS:I2	[HS:I2
		La			La
única	única
~,	~,
eras	eras
la	la
única	única
hija	hija
~.	~.
		]			]
pero	pero
sí	sí
~,	~,
pero	pero
la	la
cenicienta	cenicienta
~.	~.
Éramos	Éramos
cuatro	cuatro
hermanos	hermanos
~,	~,
[HS:E1	[HS:E1
		¿~			¿~
Y	Y
qué	qué
obligaciones	obligaciones
~…	~…
~?	~?
		]			]
dos	dos
con	con
carrera	carrera
~,	~,
dos	dos
con	con
carrera	carrera
y	y
dos	dos
agricultores	agricultores
~.	~.
