estandar	dialectal	whisper
Eso	Eso	Eso
es	es	es
verdad	verdad	verdad,
~.	~.	a
[HS:E1	[HS:E1	veces
		[Asent]			[Asent]	incluso
~.	~.	entre
		]			]	hermanos,
O	O	que
a	a	tampoco
veces	veces	tiene
incluso	incluso	más
entre	entre	afinidades.
hermanos	hermanos	No
~,	~,	es
¿~	¿~
no	no
~?	~?
Que	Que
~…	~…
~,	~,
que	que
tampoco	tampoco
tienen	tienen
más	más
afinidades	afinidades
~.	~.
[PS:	[PS:
		7			7
~"	~"
		]			]
[HCruz:	[HCruz:
		Carlota			Carlota
~,	~,
[A-Inn]	[A-Inn]
eres	eres
tú	tú
la	la
que	que
conduces	conduces
~.	~.
		]			]
