estandar	dialectal	whisper
Huy	Huy	Hoy,
~,	~,	homion.
hijo	hijo	Veníamos
mío	mío	a
~.	~.	desegar
Veníamos	Veníamos	y
de	de	poco
segar	segar	comer,
y	y	que
poco	poco	no
comer	comer	teníamos.
~,	~,	Veníamos
que	que	a
no	no	desegar
teníamos	teníamos	y
~.	~.	había
Veníamos	Veníamos	poco
de	de	que
segar	segar	comer.
y	y	No,
había	había	que
poco	poco	vamos
que	que	a
comer	comer	tener.
~.	~.	Y
Na	Na	nosotros
~,	~,	aún,
¿~	¿~	pero
qué	qué	otra
íbamos	íbamos	gente
a	a	venía
tener	tener	ni
~?	~?	no
Y	Y	podía,
nosotros	nosotros	menos
aún	aún	que
~,	~,	nosotros.
pero	pero	Nosotros
otras	otras	tenemos
gentes	gentes	un
venían	venían	hijo
y	y
no	no
podían	podían
menos	menos
que	que
nosotros	nosotros
~.	~.
Nosotros	Nosotros
~,	~,
tengo	tengo
un	un
hijo	hijo
solo	solo
~,	~,
y	y
~…	~…
