estandar	dialectal	whisper
El	El	configuration
caballo	caballo	greeted.
p-	p-	Game
~,	~,	eraserστε
come	come	Republica
pienso	pienso	La
y	y	Saxaca
~,	~,	Probably
y	y	Faisanes
hierba	hierba	attachingir
~.	~.	15
Se	Se	east
suelta	suelta	stata
ahí	ahí	a
~,	~,
al	al
prao	prao
~,	~,
y	y
come	come
hierba	hierba
~.	~.
Y	Y
pan	pan
también	también
~,	~,
lo	lo
que	que
pasa	pasa
es	es
que	que
no	no
se	se
le	le
~…	~…
~,	~,
no	no
se	se
le	le
puede	puede
dar	dar
mucho	mucho
pan	pan
porque	porque
si	si
no	no
se	se
acostumbra	acostumbra
y	y
luego	luego
te	te
muerde	muerde
~.	~.
Y	Y
de	de
vez	vez
en	en
cuando	cuando
sí	sí
~,	~,
se	se
le	le
da	da
pan	pan
~.	~.
Y	Y
azúcar	azúcar
~,	~,
el	el
caballo	caballo
también	también
~,	~,
si	si
le	le
compran	compran
~,	~,
también	también
le	le
dan	dan
~.	~.
Y	Y
eso	eso
~,	~,
así	así
que	que
tenemos	tenemos
faisanes	faisanes
[HS:E	[HS:E
		¿~			¿~
También	También
~?	~?
		]			]
en	en
el	el
huerto	huerto
~.	~.
Tenemos	Tenemos
faisanes	faisanes
~.	~.
Tenemos	Tenemos
~,	~,
ya	ya
ves	ves
~,	~,
tenemos	tenemos
muchas	muchas
cosas	cosas
más	más
~.	~.
Tenemos	Tenemos
~…	~…
~,	~,
tenemos	tenemos
perros	perros
de	de
caza	caza
~.	~.
Esos	Esos
son	son
de	de
mi	mi
hijo	hijo
y	y
de	de
un	un
amigo	amigo
de	de
mi	mi
hijo	hijo
~,	~,
que	que
van	van
a	a
[A-PIn:	[A-PIn:
		rehalas			rehalas
		]			]
de	de
perros	perros
~,	~,
cuando	cuando
van	van
a	a
cacerías	cacerías
~.	~.
