estandar	dialectal	whisper
La	La	no,
lana	lana	porque
solo	solo	la
~…	~…	lana
~,	~,	de
no	no	cosas
~,	~,	de
porque	porque	no
la	la	siendo,
lana	lana	por
~…	~…	ejemplo,
de	de	lo
cosa	cosa	que
~,	~,	se
de	de	lavará
no	no	que
siendo	siendo	hubiera
~,	~,	habido
por	por	un
ejemplo	ejemplo	enfermo,
~,	~,	entonces
las	las	había
que	que	un
se	se	enfermo
lavara	lavara	que
que	que	eso
hubiera	hubiera	pues
habido	habido	entonces
un	un	se
enfermo	enfermo	vendía
o	o	ese
~…	~…
entonces	entonces
había	había
un	un
enfermo	enfermo
que	que
~…	~…
eso	eso
~,	~,
pues	pues
entonces	entonces
se	se
vendía	vendía
ese	ese
colchón	colchón
~.	~.
