estandar	dialectal	whisper
Y	Y	y
la	la	la
juventud	juventud	huentura,
no	no	yo
le	le	no
digo	digo	me
yo	yo	hagas
na	na	que
más	más	es,
que	que	es
eso	eso	que
~:	~:	vean
que	que	menos
beban	beban	cobatas,
menos	menos	menos
cubatas	cubatas	droga
~,	~,	y
menos	menos	que
droga	droga	miren
y	y	por
que	que	el
miren	miren	puesto
por	por	de
el	el	trabajo
puesto	puesto	y
de	de	que
trabajo	trabajo	no
y	y	le
que	que	pese
no	no	el
le	le	trabajo,
pese	pese	que
el	el	no
trabajo	trabajo	le
~,	~,	pese,
que	que	que
no	no	no
le	le	está
pese	pese	la
~…	~…	vida
que	que	palpaon치ż,
no	no	ypresspon
está	está
la	la
vida	vida
pa	pa
~…	~…
~,	~,
pa	pa
[A-Inn]	[A-Inn]
~.	~.
