estandar	dialectal	whisper
Con	Con	con
miel	miel	miel,
~,	~,	sí
sí	sí	miel,
~,	~,	miel
miel	miel	y
~,	~,	se
miel	miel	envolvía
~,	~,	bien,
miel	miel	bien
~.	~.	envuelto
Y	Y	eso
se	se	con
~,	~,	las
se	se	tripas
envolvía	envolvía	del
bien	bien	mismo
bien	bien	verdo
envuelto	envuelto	la
~…	~…	rada,
eso	eso	pues
con	con	se
las	las	mutía
tripas	tripas	también
del	del	y
mismo	mismo	se
cerdo	cerdo	ataban
lavadas	lavadas	y
~,	~,	hace
pues	pues	carta
se	se
embutían	embutían
también	también
~,	~,
y	y
se	se
ataban	ataban
y	y
a	a
secar	secar
también	también
~.	~.
