estandar	dialectal	whisper
Eso	Eso	Eso,
~,	~,	donde
donde	donde	vayas,
vayas	vayas	a
~,	~,	lo
a	a	mejor
lo	lo	no
mejor	mejor	nos
no	no	conocemos
nos	nos	porque
conocen	conocen	hemos
porque	porque	cambiado
hemos	hemos	muchas
cambiao	cambiao	veces
muchas	muchas	en
veces	veces	nombre.
de	de	Primero
nombre	nombre	hermanos
~.	~.	Pérez,
Primero	Primero	luego
era	era	en
Hermanos_Pérez	Hermanos_Pérez	bases
~,	~,	Pérez,
luego	luego	luego
Envases_Pérez	Envases_Pérez	en
~,	~,	bases
luego	luego	de
Envases_La_Alcudia	Envases_La_Alcudia	alcudia,
~,	~,	luego
luego	luego	la
La	La	escalona
~,	~,	hasta
La	La	que
~…	~…	nos
~,	~,	tumbaron.
La_Escalona	La_Escalona	El
~,	~,	problema
hasta	hasta	que
que	que	hay
nos	nos	es
tumbaron	tumbaron	la
~.	~.	política.
El	El	La
problema	problema	política
que	que	dirán
hay	hay	lo
es	es	que
la	la	dirán
política	política	pero
~.	~.	para
La	La	mí
política	política	es
dirán	dirán	una
lo	lo	puta
que	que
dirán	dirán
~,	~,
pero	pero
para	para
mí	mí
eso	eso
es	es
una	una
puta	puta
mierda	mierda
~.	~.
