estandar	dialectal	whisper
Y	Y	Y
~,	~,	bueno,
bueno	bueno	y
~,	~,	luego
y	y	trae
luego	luego	y
otra	otra	vas
vez	vez	cargando
ibas	ibas	a
cargando	cargando	tu
tú	tú	la
la	la	ropa,
ropa	ropa	ya
~,	~,	vas
echabas	echabas	ceniza
[OTRAS-EM]	[OTRAS-EM]	y
ceniza	ceniza	el
~,	~,	agua
y	y	caliente
el	el	con
agua	agua	la
caliente	caliente	ropa,
con	con	y
laurel	laurel	vas
otra	otra	cargando
vez	vez	así,
~,	~,	dos
ibas	ibas	días
cargando	cargando	la
así	así	tenés
y	y	ahí
dos	dos	en
días	días
lo	lo
tenías	tenías
allí	allí
en	en
remojo	remojo
~.	~.
