estandar	dialectal	whisper
Así	Así	Después
ma-	ma-	se
~,	~,	desayaba,
le	le	se
mataban	mataban	le
~.	~.	tenía
Después	Después	un
se	se	poco
desollaba	desollaba	tiempo
~,	~,	a
[HS:E1	[HS:E1	Correjo
		[Asent]			[Asent]	y
~.	~.	tal,
		]			]	a
se	se	comer
le	le	con
tenía	tenía	el
un	un	cohenjo
~…	~…	con
poco	poco	patatas
tiempo	tiempo	o
al	al	con
oreo	oreo	olubias,
~,	~,	que
y	y	normalmente
tal	tal	según
~,	~,	la
[HS:E1	[HS:E1	ciencia
		[Asent]			[Asent]	médica
~.	~.	no
		]			]	es
y	y	la
~,	~,	mejor
pues	pues	carne
~,	~,	para
hala	hala	muchas
~,	~,
pues	pues
~,	~,
después	después
a	a
~,	~,
a	a
~,	~,
a	a
comer	comer
conejo	conejo
con	con
patatas	patatas
~,	~,
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
o	o
con	con
alubias	alubias
~,	~,
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
[R-Ppl]	[R-Ppl]
que	que
normalmente	normalmente
según	según
~…	~…
la	la
ciencia	ciencia
médica	médica
no	no
es	es
la	la
mejor	mejor
carne	carne
para	para
muchas	muchas
enfermedades	enfermedades
~.	~.
