estandar	dialectal	whisper
Pues	Pues	Pues
yo	yo	yo
~…	~…	no
no	no	lo
lo	lo	sé,
sé	sé	no
~.	~.	lo
Eh	Eh	sé
~…	~…	que
~,	~,	vendría.
yo	yo	Yo
no	no	cuando
lo	lo	nacieron
sé	sé	mis
quién	quién	hijas
vendría	vendría	también
~.	~.	nacieron
Yo	Yo	aquí
cuando	cuando	en
nacieron	nacieron	casa,
mis	mis	pero
hijas	hijas	entonces
~,	~,	venía
también	también	al
nacieron	nacieron	médico.
aquí	aquí	Ya,
en	en	a
casa	casa	casa.
~,	~,	Ya
pero	pero	participía
entonces	entonces	de
venía	venía	mi
el	el	consahía
médico	médico	toda
~,	~,	la
ya	ya	gente
~,	~,	y
a	a	al
casa	casa	안녕
y	y	horas
a	a	mam
~,	~,
y	y
a	a
partir	partir
ya	ya
de	de
mi	mi
eso	eso
~,	~,
ya	ya
a	a
toda	toda
la	la
gente	gente
las	las
mandaban	mandaban
a	a
Teruel	Teruel
~.	~.
