estandar	dialectal	whisper
|T16|	|T16|	Porque
Porque	Porque	yo
yo	yo	lo
lo	lo	veo
veo	veo	en
en	en	nosotros
nosotros	nosotros	mismos.
mismos	mismos	Somos
~,	~,	los
somos	somos	dos
los	los	aquí.
dos	dos	Nunca
aquí	aquí	no
y	y	se
nunca	nunca	si
nos	nos	están
visita	visita	medicales,
un	un	siempre
médico	médico	no
ni	ni	se
estamos	estamos	están.
enfermos	enfermos	Y
y	y	si
sin	sin	no
embargo	embargo	van
los	los	con
que	que	los
estáis	estáis	que
por	por	estáis
ahí	ahí	por
~,	~,	ahí,
los	los	los
hospitales	hospitales	hospitales
[HS:E1	[HS:E1	y
		Sí			Sí	todos
~.	~.	los
		]			]	los
todo	todo	los
~,	~,	los.
todo	todo	Que
~,	~,	si
todo	todo	no
~,	~,	padecen
que	que	a
si	si	todos,
no	no	y
padecéis	padecéis	bueno,
una	una	este
cosa	cosa	hombre,
~…	~…	se
~¡~	~¡~	ha
Uy	Uy	operado
~!	~!	de
~,	~,	barista,
pues	pues	ni
nos-	nos-
~,	~,
este	este
hombre	hombre
sí	sí
va	va
mal	mal
~,	~,
se	se
ha	ha
operao	operao
de	de
la	la
vista	vista
~,	~,
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
de	de
cataratas	cataratas
~.	~.
