estandar	dialectal	whisper
Antiguamente	Antiguamente	Antiguamente,
~,	~,	por
por	por	aquí,
aquí	aquí	obviéralos,
~…	~…	porque
hubiéralos	hubiéralos	había
porque	porque	señores
~…	~…	que
había	había	recogían,
señores	señores	claro,
que	que	como
recogían	recogían	ya
~,	~,	en
claro	claro	preguntas,
~,	~,	miel,
como	como	y
bien	bien	a
preguntas	preguntas	100
~,	~,	los
miel	miel	cortinos,
~…	~…	los
y	y	cortinos
hacían	hacíen	son
los	los	unas
cortinos	cortinos	casas
~.	~.	que
Los	Los	les
cortinos	cortinos	atían
son	son	a
unas	unas	las
casas	casas	abejas
que	que	para
les	les	tener
hacían	hacían	los
a	a	protegidas
las	las	de
abejas	abejas	losos,
para	para	porque
tenerlas	tenelas	les
protegidas	protegidas	gustaba
del	del	mucho
~…	~…	el
del	del	miel.
oso	oso	Entonces,
~,	~,	en
porque	porque	esas
les	les	casas
gustaba	gustaba	que
mucho	mucho	hicieron
el	el	se
miel	miel	ve
~.	~.	algún...
Entonces	Entonces	y
~,	~,	tienen
en	en	unos
esas	esas	piedras
casas	casas	así,
que	que	todo
hicieron	hicieron	alrededor
se	se	del
ve	ve	cortino
algún	algún	es
~…	~…	si
y	y	que
pas-	pas-	están
~,	~,	las
ten	ten	abejas
~,	~,	se
tienen	tienen	quitan.
unas	unas	¿Con
piedras	piedras	qué
así	así	objeto
todo	todo	está
alrededor	alrededor	este
del	del	sobre
~,	~,	lo
del	del	que
cortino	cortino	sabe?
ese	ese	¿Qué
que	que	es
están	están	tu
las	las	que
~…	~…	salía
[R-Inf]	[R-Inf]	aquí?
las	las	Pues
abejas	abejas	con
aquí	aquí	el
dentro	dentro	objeto
~.	~.	de
¿~	¿~	que
Con	Con	el
qué	qué	osu,
objeto	objeto	al
está	tá	subir
esta	esta	arriba,
~,	~,	robar
este	este	el
~,	~,	miel,
esta	esta	tropezaban
[A-Inn]	[A-Inn]	la
esto	esto	losa
que	que	y
sale	sale	no
aquí	aquí	pasaba.
~?	~?	Antiguamente,
Pues	Pues	dicen
con	con	que
el	el	Antiguamente
objeto	objeto	era...
de	de	había
que	que	gente
el	el	muy
oso	oso
~,	~,
al	al
subir	subir
pa	pa
arriba	arriba
~,	~,
robara	robara
el	el
miel	miel
~,	~,
tropezaba	tropezaba
en	en
la	la
losa	losa
y	y
[L-Otra:	[L-Otra:
		non			non
		]			]
pasaba	pasaba
~.	~.
Antiguamente	Antiguamente
~,	~,
dicen	dicen
que	que
antiguamente	antiguamente
~.	~.
Antiguamente	Antiguamente
era	era
~,	~,
era	era
~,	~,
había	había
gente	gente
muy	muy
inteligente	inteligente
~,	~,
hombre	hombre
~.	~.
Sí	Sí
~,	~,
sí	sí
~,	~,
sí	sí
~,	~,
sí	sí
~.	~.
