estandar	dialectal	whisper
Lo	Lo	lo
partían	partían	partía
y	y	a
el	el	mi
jamón	jamón	hijabone
en	en	en
un	un	un
sitio	sitio	sitio
~,	~,	lo
lo	lo	que
que	que	era
es	es	cancelado
la	la	otro
[L-Otra:	[L-Otra:	sitio
		cansalada			cansalada	y
		]			]	todo
a	a	se
otro	otro	paró
sitio	sitio	bien
y	y	todos
todo	todo	los
~…	~…	mujeres
separado	separado	hacen
~.	~.	las
Y	Y	agonizas
entonces	entonces	con
las	las	los
mujeres	mujeres	servizos,
hacen	hacen	todas
las	las	los
longanizas	longonizas	impuestos
y	y	y
~…	~…	clalom
[HS:I2	[HS:I2	se
		Las			Las
butifarras	butifarras
~.	~.
		]			]
todo	todo
las	las
butifarras	butifarras
~.	~.
Eso	Eso
era	era
complicado	complicado
~.	~.
[HS:I2	[HS:I2
		Lo			Lo
cocíamos	cocíamos
~,	~,
		]			]
