estandar	dialectal	whisper
Sí	Sí	de
~,	~,	sus
de	de	empresas,
eso	eso	siempre
siempre	siempre	en
hacían	hacían	la
en	en	fiesta.
~,	~,	Fiesta
en	en	por
la	la	día
fiesta	fiesta	reallé
~.	~.	y
Bueno	Bueno	eso
~,	~,	como
fiestas	fiestas	fue
por	por	en
el	el	caliente
día	día	por
Reyes	Reyes	ejemplo,
y	y	andaban
eso	eso	en
~.	~.	todo
Como	Como	aquella
en	en	calle,
Fuencaliente	Fuencaliente	y
~,	~,	luego
por	por	fealle,
ejemplo	ejemplo	montaban
~,	~,	los
andaban	andaban	caballos,
en	en	un
todas	toas	burro,
aquellas	aquellas	según
calles	calles	lo
~,	~,	que
los	los	fuera,
Reyes	Reyes	y
montados	montaos	otros,
en	en	ganando,
los	los	pero
caballos	caballos	había
~,	~,	esto
en	en	procesión
los	los	ahí
burros	burros	en
~,	~,	redor
según	según	de
lo	lo	aquella
que	que	calle,
fuera	fuera	en
~.	~.	lo
Y	Y	pueblo,
otros	otros	en
caminando	caminando	los
~,	~,	campos,
pero	pero
había	había
~…	~…
de	de
esto	esto
~,	~,
procesión	procesión
~,	~,
ahí	ahí
alrededor	alredor
de	de
aquellas	aquellas
calles	calles
~.	~.
En	En
los	los
pueblos	pueblos
~.	~.
En	En
los	los
campos	campos
~,	~,
no	no
~.	~.
