estandar	dialectal	whisper
Hay	Hay	¡
que	que	piensa
ir	ir	que
meneándola	meneándola	mecknow,
porque	porque	esa
se	se	es
~,	~,	una
se	se	soothinga
hace	hace	que
una	una	brutalmente
madeja	madeja	hacía
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
[HS:I1	[HS:I1
		Y			Y
con	con
~…	~…
		]			]
y	y
con	con
esa	esa
madeja	madeja
se	se
le	le
da	da
un	un
~|	~|
se	se
le	le
da	da
la	la
vuelta	vuelta
y	y
luego	luego
ya	ya
esa	esa
~|	~|
y	y
eso	eso
son	son
[R-Mcr]	[R-Mcr]
[A-Inn]	[A-Inn]
de	de
la	la
~…	~…
sangre	sangre
~.	~.
