estandar	dialectal	whisper
Sí	Sí	Bueno,
~,	~,	aquí
bueno	bueno	andaceno
~,	~,	al
aquí	aquí	lavado
~…	~…	en
~¡~	~¡~	el
Bueno	Bueno	estante.
~…	~…	El
~!	~!	estante
~,	~,	es
aquí	aquí	nuestro,
anda	anda	cuando
que	que	era
no	no	más
han	han	pequeño,
lavao	lavao	que
en	en	donde
el	el	tenemos
estanque	estanque	una
~…	~…	de
~,	~,	las
en	en	naves,
el	el	era
estanque	estanque	donde
este	este	estaba
nuestro	nuestro	el
cuando	cuando	estante,
era	era	y
más	más	allí
pequeño	pequeño	tenía
~,	~,	una
que	que	pila
donde	donde	gran,
tenemos	tenemos	una
una	una	tabla
de	de	de
las	las	esta
naves	naves	de
~,	~,	cemento,
en	en	y
la	la	allí
nave	nave	era
de	de	donde
allá	allá	la
era	era	echaban
donde	donde	en
estaba	estaba	agua
el	el	en
estanque	estanque	saco,
~.	~.	tarde
Y	Y	hoy
allí	allí	y
tenía	tenía	mañana
una	una	venían
pila	pila	a
gran-	gran-	lavarla,
~,	~,	y
una	una	quedaba
~…	~…	tan
tabla	tabla	limpia
de	de	porque
~…	~…	ya
~|	~|	la
hecha	hecha	sociedad
de	de	esa,
cemento	cemento	pues
y	y	se
allí	allí	la
era	era	había
donde	donde	ido
la	la	del
echaban	echaban	entro,
en	en	como
agua	agua	tenía
en	en	tanto
saco	saco	agua
tal	tal	el
que	que	estante,
hoy	hoy	y
y	y	había
mañana	mañana	que
venían	venían	enterar
a	a	tanta
lavarla	lavarla	cantidad
~.	~.	de
Y	Y	agua,
quedaba	quedaba	pues
tan	tan	se
limpia	limpia	la
[HS:E1	[HS:E1	van
		[Asent]			[Asent]	y
~.	~.	quedaba
		]			]	blanquita,
porque	porque	quedaba
ya	ya	conmuy
la	la	sobre
suciedad	suciedá	blanquita.
esa	esa	Luego
pues	pues	ya
se	se	venía
la	la	algún
había	había	polsonero,
ido	ido	lo
de	de	varía
~…	~…	con
~,	~,	unas...
de	de	A
~|	~|	ver,
como	como	con
tenía	tenía	unas
tanto	tanto	baras,
agua	agua	que
el	el	tiene
estanque	estanque	un
~,	~,	orquillo,
y	y	como
había	había	si
tan-	tan-	fuera
~,	~,	una
tanta	tanta	forma
cantidad	cantidá	en
de	de	redondo,
agua	agua	y
pues	pues	aforda
se	se	de
lavaba	lavaba	palos
y	y	y
quedaba	quedaba	cune
blanquita	blanquita	tú,
~.	~.	y
[HS:E1	[HS:E1	ahora
		[Asent]			[Asent]	sí,
~.	~.	para
		]			]	que
Quedaba	Quedaba	se
como	como	tirara
eso	eso	la
de	de	lana
blanquita	blanquita	espujosa,
~.	~.	y
[HS:E1	[HS:E1	ya
		[Asent]			[Asent]	venía,
~.	~.	se
		]			]	le
Luego	Luego	preparaba
ya	ya	la
~,	~,	tela
venía	venía	del
algún	algún	colcho,
colchonero	colchonero	ya
~…	~…	te
~,	~,	la
lo	lo	fía
vareaba	vareaba	y
con	con	ya
unas	unas	estaba
~…	~…	el
~,	~,	colcho
a	a	en
ver	ver
~,	~,
con	con
una	una
vara	vara
[HS:E	[HS:E
		[Asent]			[Asent]
~.	~.
		]			]
que	que
tiene	tiene
un	un
horquillo	horquillo
~,	~,
como	como
si	si
fuera	fuera
una	una
forma	forma
en	en
redondo	redondo
~.	~.
Y	Y
a	a
fuerza	fuerza
de	de
palos	palos
y	y
pum	pum
y	y
pum	pum
[ONOMAT]	[ONOMAT]
~,	~,
hacían	hacían
así	así
pa	pa
que	que
se	se
quedara	quedara
la	la
lana	lana
esponjosa	esponjosa
~.	~.
Y	Y
ya	ya
venía	venía
~,	~,
se	se
le	le
preparaba	preparaba
la	la
~…	~…
~,	~,
la	la
tela	tela
del	del
colchón	colchón
~,	~,
ya	ya
te	te
la	la
hacía	hacía
y	y
ya	ya
estaba	estaba
el	el
colchón	colchón
hecho	hecho
~.	~.
