estandar	dialectal	whisper
Eso	Eso	Algo
lo	lo	Lamborghini,
aprendí	aprendí	papá
de	de	empiezas
mi	mi	sin
padre	padre	algo
y	y	como
mi	mi	hurting
padre	padre	en
~,	~,	el
como	como	vídeo
tenía	tenía	en
las	las	el
manos	manos	y
mu	mu	¡V
grandes	grandes	Shammornik!
~,	~,	no
pues	pues	цie
entonces	entonces	vuén.
no	no	el
podía	podía	doble
con	con	entente
primalas	primalas	era
~,	~,	fuerte
eran	eran	cursed,
del	del	música
primer	primer	cont淏
parto	parto
~,	~,
y	y
no	no
podía	podía
meterles	meteles
la	la
mano	mano
~.	~.
Y	Y
yo	yo
era	era
mu	mu
crío	crío
y	y
me	me
explicaba	explicaba
cómo	cómo
tenía	tenía
que	que
hacerlo	hacelo
y	y
ya	ya
luego	luego
~,	~,
luego	luego
pues	pues
a	a
él	él
ni	ni
se	se
arrimaban	arrimaban
~.	~.
«~	«~
Mi	Mi
	
Anonimizado	Anonimizado
	
~,	~,
mi	mi
	
Anonimizado	Anonimizado
	
~,	~,
[HS:E1	[HS:E1
		[RISAS]			[RISAS]
		]			]
mi	mi
	
Anonimizado	Anonimizado
	
~,	~,
que	que
vaya	vaya
mi	mi
	
Anonimizado	Anonimizado
	
~,	~,
que	que
tiene	tiene
las	las
manecicas	manecicas
más	más
pequeñas	pequeñas
~»	~»
~.	~.
