estandar	dialectal	whisper
Los	Los	los
que	que	que
teníamos	teníamos	teníamos
un	un	un
trocito	trocito	trocito
de	de	de
tierra	tierra	10
~,	~,	a
bien	bien	100
~,	~,	porque
porque	porque	ya
[A-Pau:	[A-Pau:	le
		tenías			tenías	contaba
un	un	en
poco	poco	terno,
maíz	maíz	te
		]			]	contaba
para	para	en
la	la	nada.
harina	harina	No
~,	~,	te
de	de	sorobaban
todo	todo	nada,
~,	~,	pero
siempre	siempre	pudías
~…	~…	comer.
~,	~,	Y
no	no	no
te	te	tenía,
sobraba	sobraba	pero...
nada	nada	Y
~,	~,	luego
pero	pero	también
podías	podías	lo
comer	comer	que
~,	~,	había
¿~	¿~	es
eh	eh	cuando
~?	~?	iban
[HS:I1	[HS:I1	a
		Lo			Lo	trabajo
que	que	a
ya	ya	otros
he	he	trabajos
contado	contao	del
antes	antes	pueblo,
~,	~,	pero
no	no	como
te	te	este
faltaba	faltaba	de
nada	nada	la
~.	~.	fabricación
Siempre	Siempre	entre
había	había	el
algo	algo	cuadro
~.	~.	y
Dinero	Dinero	el
no	no	metárez,
tenías	tenías	les
~,	~,	daban
pero	pero	un
comías	comías	racionamiento
~.	~.	que
		]			]	bien.
Dinero	Dinero	Y
no	no	aquello,
~.	~.	si
Y	Y	la
luego	luego	gente
también	también	no
~…	~…	podía
lo	lo	comer
que	que	bien,
había	había	se
es	es	quedaba
~,	~,	un
cuando	cuando	poco
iban	iban	y
al	al	del
trabajo	trabajo	resto
~,	~,	lo
a	a	coquían
otros	otros	estas
trabajos	trabajos	que
del	del	hacían
pueblo	pueblo	nuestro,
~,	~,	que
pero	pero	lo
como	como	estaperlo
este	este	y
de	de	aquello
la	la	pues
fábrica	fábrica	cobraban
de	de	un
cemento	cemento	poquito
~,	~,	y
su	su	tienden
padre	padre	que
y	y	a
mi	mi	vos
padre	padre	había
~,	~,	que
les	les	depatar.
daban	daban	Era
un	un	un
racionamiento	racionamiento	racionamiento
que	que	muy
decían	decían	malo.
~.	~.	Si,
[HS:I1	[HS:I1	uno
		Racionamiento			Racionamiento	escaseñó
~.	~.	espectávit,ince
		]			]	el
Y	Y	takeaway
aquello	aquello	dice
~,	~,	que
si	si	habría
la	la	que
gente	gente	saber
no	no	eso.
podía	podía	A
comer	comer	ver
bien	bien	se
~,	~,	leben
se	se	issues
quedaba	quedaba	de
un	un	Bevölker原er
poco	poco	que
y	y	han
el	el	estado
resto	resto	Moreno
lo	lo	de
~…	~…	la
[HS:I2	[HS:I2	serie
		Lo			Lo	de
vendían	vendían	comp�ores
~.	~.	transparentes
		]			]	que
cogían	cogían	22
estas	estas	MTX
que	que	muero
hacían	hacían	enfata.
~,	~,	Voy
o	o	a
estos	estos	involved粒
~,	~,	de
lo	lo	las
~…	~…	esp
~,	~,	pedestrianas
el	el	por
estraperlo	estraperlo	los
y	y	pienos
aquello	aquello	tiendes.
pos	pos	La
cobraban	cobraban	enjoyable
un	un	también
poquitín	poquitín	está
~…	~…	a
~,	~,	pagar
porque	porque	elaxis
algo	algo	de
se	se	los
había	había
que	que
pagar	pagar
con	con
dinero	dinero
~.	~.
Cosas	Cosas
así	así
~…	~…
[HS:I1	[HS:I1
		Pero			Pero
era	era
un	un
racionamiento	racionamiento
muy	muy
malo	malo
~.	~.
		]			]
unos	unos
años	años
fatal	fatal
~,	~,
y	y
más	más
en	en
los	los
pueblos	pueblos
~.	~.
