estandar	dialectal	whisper
La	La	la
ropa	ropa	grandpa
se	se	se
echa	echa	echa
en	en	en
[HS:I1	[HS:I1	el
		[A-Inn]			[A-Inn]	cama
		]			]	y
cama	cama	lo
~,	~,	smelling
que	que	y
decimos	decimos	vendía
~,	~,	sin
en	en	combatorica
polvos	polvos
de	de
esos	esos
que	que
venden	venden
[HS:E1	[HS:E1
		Sí			Sí
~.	~.
		]			]
ajases	ajases
de	de
esos	esos
~,	~,
o	o
como	como
se	se
diga	diga
~,	~,
[HS:E1	[HS:E1
		Sí			Sí
~.	~.
		]			]
y	y
lo	lo
tienes	tienes
en	en
~|	~|
un	un
rato	rato
recalando	recalando
~.	~.
