estandar	dialectal	whisper
Pero	Pero	pero
aquí	aquí	aquí
bajo	bajo	va
había	había	a
otro	otro	haber
horno	horno	turjorno
que	que	que
era	era	era
más	más	más
chico	chico	chico
y	y	y
también	también	también
amasábamos	amasábamos	amasamos
aquí	aquí	aquí
~.	~.	y
Y	Y	a
a	a	los
los	los	vecinos
vecinos	vecinos	que
que	que	no
no	no	tenían
tenían	tenían	amasaban
~,	~,	y
amasaban	amasaban	los
y	y	dejamos
los	los	hornear
dejábamos	dejábamos	en
hornear	horniar	la
en	en	cocina
la	la	en
cocina	cocina	esta
~.	~.
En	En
esta	esta
cocina	cocina
~.	~.
