estandar	dialectal	whisper
Y	Y	¿Cuantos
esos	esos	que
~,	~,	estaban
los	los	en
segundos	segundos	los
que	que	que
estaban	estaban	sabían
~,	~,	cargar
eran	eran	y
los	los	cargar
que	que	el
sabían	sabían	barrio?
cargar	cargar	¿Cuantos
el	el	sabían
carro	carro	cargar?
~,	~,	¿Cuantos
[HS:I1	[HS:I1	sabían
		Sí			Sí	cargar
~.	~.	el
Cargar	Cargar
el	el
carro	carro
~.	~.
		]			]
porque	porque
había	había
algunos	algunos
que	que
no	no
sabían	sabían
cargarlos	cargarlos
~.	~.
Esos	Esos
estaban	estaban
~|	~|
eran	eran
su	su
oficio	oficio
ese	ese
~.	~.
