estandar	dialectal	whisper
[OTRAS-EM]	[OTRAS-EM]	No,
No	No	lo
~,	~,	romo
los	los	estaba
~,	~,	en
los	los	un
lomos	lomos	día
estaban	estaban	o
a	a	dos
lo	lo	o
mejó	mejó	hasta
un	un	que
día	día	cogían
o	o	las
dos	dos	arpes,
o	o	pero
~…	~…	aquello
hasta	hasta	estaba
que	que	en
cogían	cogían	poco.
la	la	Los
sal	sa	amones,
~,	~,	él
pero	pero	lo
aquellos	aquellos	tenía,
estaban	estaban	pues,
poco	poco	desde
~.	~.	día,
Los	Los	que
jamones	jamones	yo
se	se	cuando
los	los	me
tenían	tenían	perdía
~…	~…	lo
pues	pues	había,
~,	~,	pero
decían	decían	como
~,	~,	norma,
que	que	era
yo	yo	un
cuando	cuando	día
me	me	por
parecía	parecía	libra
lo	lo	de
hacía	hacía
y	y
~…	~…
pero	pero
como	como
norma	norma
~,	~,
era	era
un	un
día	día
por	por
~,	~,
por	por
libra	libra
~,	~,
decían	decían
~.	~.
