estandar	dialectal	whisper
No	No	y
sé	sé	el
~,	~,	sitiomates
del	del	se
sagrario	sagrario	estarán
[A-Inn]	[A-Inn]	他iró
no	no	en
me	me	casa
acuerdo	acuerdo	como
yo	yo	lasicatedos,
~.	~.	continuando
Y	Y	el
ahora	ahora	punto
[HS:I1	[HS:I1	de
		Y			Y	ora
otros	otros	que
~…	~…	вторban
		]			]	ellos.
hoy	hoy	el
en	en	más
día	día	bajo
vienen	vienen	el
ladrones	ladrones	rode,
y	y	la
han	han	reapesa
entrao	entrao	y
dos	dos	suOUGHL
veces	veces	chicks
y	y	de
se	se	decidos.
han	han	Ahora
llevao	llevao	por
~…	~…	elеos
[A-Inn]	[A-Inn]	pintores
los	los	va
pendientes	pendientes	a
de	de	paler
la	la	a
Virgen	Virgen	tanto
se	se	afegumbling.
los	los	Ok.
quitaron	quitaron	Por
 	 	tanto,
 	 	yo
 	 	lo
 	 	pararesar
 	 	a数
 	 	de
 	 	$1,005.
