estandar	dialectal	whisper
Hombre	Hombre	conmigo
~,	~,	depende
depende	depende	del
~…	~…	volumen
el	el	que
volumen	volumen	le
que	que	dejas
le	le	fuego
des	des	si
al	al	es
fuego	fuego	el
~,	~,	alumbre
si	si	o
en	en	en
la	la	el
lumbre	lumbre	raúo
o	o	o
es	es	en
en	en	lo
gas	gas	que
o	o	sea
en	en	si
lo	lo	es
que	que	el
sea	sea	alumbre,
~.	~.	pues
Si	Si	te
en	en	queda...
la	la	fue
lumbre	lumbre	glento
~,	~,	si
pues	pues	no
tienes	tienes	sé,
que	que	se
dar	dar	quema
fuego	fuego	buena
lento	lento	nera
~,	~,	como
si	si	coesto
no	no	cada
se	se	cosa
~,	~,	te
se	se	lo
quema	quema	suyo
~,	~,	se
se	se	pasa
ponen	ponen	una
negras	negras	roja,
como	como	segundo
[A-Inn]	[A-Inn]	tenga,
~.	~.	pues
[RISA]	[RISA]	así,
Cada	Cada	sale
cosa	cosa	la
tiene	tiene	marcha
lo	lo	construida
suyo	suyo	y
~,	~,	lo
se	se	dejo
pasa	pasa
una	una
rosca	rosca
y	y
según	según
lo	lo
tengas	tengas
pues	pues
asín	asín
sale	sale
y	y
eso	eso
pasa	pasa
con	con
~,	~,
las	las
con	con
las	las
migas	migas
~,	~,
eso	eso
sale	sale
igual	igual
~.	~.
